Time (s),Satellite ID,Longitude (deg),X (km),Y (km),Z (km),VX,VY,VZ,ideal VX,ideal VY,ideal VZ,ideal x,ideal_y,ideal_z,Status,Sun X (km),Sun Y (km),Sun Z (km),Moon X (km),Moon Y (km),Moon Z (km)
52260,01,45.0,-5037.580660386845,-42391.91821525503,789.5817361188757,3.367271847742088,-1.8657606318617426,-0.3222079211586407,3.367013929355851,-1.8679314606475252,-0.32216748369515813,-4844.028958279369,-41877.77492240187,0.0,non-stationkeeping,149589772.90123564,1556522.1908668648,0.0,231499.1188471738,306873.7818272882,0.0
52270,01,45.0,-5004.684748702505,-42409.66423592555,786.9389040663826,3.2898471556601683,-1.7724324191908978,-0.2643234685829064,3.2895911684339967,-1.7746020670522378,-0.26428320524931037,-4813.482123117248,-41881.297005351094,0.0,non-stationkeeping,149589769.80192435,1556820.022096041,0.0,231490.95070717027,306879.94352953474,0.0
52280,01,45.0,-4972.609067076994,-42428.51120318482,785.1293351044144,3.207822242099766,-1.8825283894535936,-0.18099702482994745,3.207568162551141,-1.8846967259268212,-0.1809568961968272,-4782.932727082214,-41884.79680657656,0.0,non-stationkeeping,149589766.70202008,1557117.853319046,0.0,231482.78240316367,306886.1050143678,0.0
52290,01,45.0,-4940.870678578425,-42447.326740990335,781.9903421124941,3.174091042569388,-1.8793867575348449,-0.3139392254708293,3.173838849856796,-1.881553780551744,-0.31389929919202775,-4752.380786427186,-41888.27432421629,0.0,non-stationkeeping,149589763.6015228,1557415.6845358787,0.0,231474.61393515972,306892.26628178294,0.0
52300,01,45.0,-4908.81825067079,-42467.050640212125,778.5546750769171,3.2054930688030354,-1.9702243000067508,-0.3436064102725437,3.2052427907635344,-1.9723899221792571,-0.3435667035576974,-4721.826317406468,-41891.72955642017,0.0,non-stationkeeping,149589760.50043258,1557713.5157465378,0.0,231466.4453031642,306898.42733177583,0.0
52310,01,45.0,-4876.278918107533,-42487.37320418225,775.3999519051397,3.254181588971977,-2.0300922306535534,-0.3155118175115339,3.2539332563256584,-2.0322563970129823,-0.3154723171777381,-4691.269336275603,-41895.162501349965,0.0,non-stationkeeping,149589757.39874935,1558011.346951022,0.0,231458.27650718298,306904.58816434204,0.0
52320,01,45.0,-4843.316768818464,-42507.228714755656,773.2488117033648,3.3142417119349217,-1.919231542813997,-0.2920480200492659,3.05607194912803,-0.33995106732089175,0.0,-4660.7098592916145,-41898.57315717925,0.0,stationkeeping,149589754.29647315,1558309.1781493302,0.0,231450.1075472218,306910.7487794773,0.0
52330,01,45.0,-4811.440626511431,-42525.34111925443,770.9406013591591,3.205725422736852,-1.74379394913721,-0.3074926423141834,3.0563190956580333,-0.33772188548548937,0.0,-4630.14790271271,-41901.96152209351,0.0,stationkeeping,149589751.193604,1558607.0093414611,0.0,231441.93842328645,306916.9091771773,0.0
52340,01,45.0,-4778.747243187708,-42542.89896244411,767.467964001074,3.2870717757062176,-1.6870262803243599,-0.4233549805426014,3.056564616162514,-0.3354925239749981,0.0,-4599.583482798523,-41905.32759429005,0.0,stationkeeping,149589748.09014186,1558904.8405274136,0.0,231433.7691353827,306923.0693574375,0.0
52350,01,45.0,-4744.24410653852,-42559.550847652696,763.466130361955,3.467290053139456,-1.595277470984745,-0.4757683484789517,3.056808510510851,-0.3332629839754848,0.0,-4569.016615809963,-41908.67137197805,0.0,stationkeeping,149589744.98608673,1559202.671707187,0.0,231425.59968351637,306929.2293202536,0.0
